,genename,length,group,Cpg_number,log_gene_length,log_CpG,promoter_CpG_number,log_promoter_CpG
801,Arhgap17,"90,699",Group1,"1,014",4.96,3.01,78,1.89
802,Disp1,"135,258",Group1,"1,798",5.13,3.25,25,1.4
803,Dkk3,"43,042",Group1,491,4.63,2.69,36,1.56
804,Pak1,"123,842",Group1,769,5.09,2.89,44,1.64
805,Sergef,"196,655",Group1,"2,588",5.29,3.41,46,1.66
806,Ptpn5,"55,891",Group1,641,4.75,2.81,29,1.46
807,Acadsb,"38,345",Group1,294,4.58,2.47,80,1.9
808,AC165086.3,"102,742",Group1,"1,596",5.01,3.2,20,1.3
809,St5,"179,696",Group1,"1,473",5.25,3.17,73,1.86
810,Tub,"84,124",Group1,922,4.92,2.96,14,1.15
811,Slc9a9,"560,538",Group1,"4,250",5.75,3.63,28,1.45
812,Atp11a,"111,716",Group1,"1,494",5.05,3.17,49,1.69
813,Mcf2l,"147,101",Group1,"2,146",5.17,3.33,39,1.59
814,Rasa3,"110,657",Group1,"1,671",5.04,3.22,46,1.66
815,Col4a1,"114,405",Group1,"1,524",5.06,3.18,91,1.96
816,Col4a2,"136,484",Group1,"1,974",5.14,3.3,92,1.96
817,Dlc1,"385,394",Group1,"3,550",5.59,3.55,18,1.26
818,Ank1,"175,655",Group1,"2,696",5.24,3.43,90,1.95
819,Adam9,"67,318",Group1,665,4.83,2.82,84,1.92
820,Slit2,"324,597",Group1,"2,207",5.51,3.34,51,1.71
821,Tenm3,"616,271",Group1,"8,308",5.79,3.92,55,1.74
822,Wwc2,"166,967",Group1,"2,627",5.22,3.42,61,1.79
823,Galnt7,"129,206",Group1,"1,882",5.11,3.27,58,1.76
824,Nr3c2,"345,572",Group1,"2,941",5.54,3.47,67,1.83
825,Sorbs2,"320,120",Group1,"2,801",5.51,3.45,20,1.3
826,Irf2,"107,728",Group1,"1,282",5.03,3.11,53,1.72
827,Sh3rf1,"172,201",Group1,"2,463",5.24,3.39,35,1.54
828,Smad1,"61,125",Group1,"1,049",4.79,3.02,25,1.4
829,Slc10a7,"224,659",Group1,"2,543",5.35,3.41,121,2.08
830,Tecr,"36,275",Group1,504,4.56,2.7,129,2.11
831,Tbc1d9,"107,584",Group1,"1,332",5.03,3.12,24,1.38
832,Phlpp2,"76,131",Group1,767,4.88,2.88,41,1.61
833,Cdyl2,"158,593",Group1,"1,902",5.2,3.28,102,2.01
834,Cntnap4,"312,676",Group1,"2,512",5.5,3.4,32,1.51
835,Cdh13,"1,041,190",Group1,"11,667",6.02,4.07,47,1.67
836,Ints10,"37,740",Group1,452,4.58,2.66,43,1.63
837,Pgr,"68,780",Group1,464,4.84,2.67,22,1.34
838,Car7,"15,656",Group1,251,4.19,2.4,82,1.91
839,Cyb5b,"36,833",Group1,419,4.57,2.62,34,1.53
840,Wwp2,"122,232",Group1,"1,408",5.09,3.15,49,1.69
841,Bmper,"262,126",Group1,"2,016",5.42,3.3,68,1.83
842,Jam3,"58,039",Group1,695,4.76,2.84,32,1.51
843,Trpc6,"136,601",Group1,821,5.14,2.91,24,1.38
844,Sesn3,"58,036",Group1,584,4.76,2.77,21,1.32
845,Grik4,"426,360",Group1,"5,097",5.63,3.71,83,1.92
846,Ubash3b,"150,601",Group1,"1,803",5.18,3.26,18,1.26
847,Kirrel3,"550,824",Group1,"4,808",5.74,3.68,32,1.51
848,Abhd12,"72,250",Group1,662,4.86,2.82,30,1.48
849,Cadm1,"327,466",Group1,"3,993",5.52,3.6,61,1.79
850,Dscaml1,"327,086",Group1,"3,755",5.51,3.57,18,1.26
851,Olfm2,"78,661",Group1,970,4.9,2.99,28,1.45
852,Pde4a,"47,536",Group1,778,4.68,2.89,109,2.04
853,Tmod2,"45,706",Group1,521,4.66,2.72,20,1.3
854,Smarca4,"88,063",Group1,961,4.94,2.98,58,1.76
855,Fam81a,"54,051",Group1,693,4.73,2.84,31,1.49
856,Tcf12,"269,185",Group1,"1,744",5.43,3.24,64,1.81
857,Rora,"734,462",Group1,"7,872",5.87,3.9,49,1.69
858,Glce,"65,409",Group1,398,4.82,2.6,50,1.7
859,Bckdhb,"199,097",Group1,"2,085",5.3,3.32,41,1.61
860,Usp28,"57,144",Group1,675,4.76,2.83,75,1.88
861,Thsd4,"555,117",Group1,"5,522",5.74,3.74,25,1.4
862,Tmem266,"111,434",Group1,"1,213",5.05,3.08,80,1.9
863,Neo1,"161,756",Group1,"1,149",5.21,3.06,115,2.06
864,Mlip,"250,890",Group1,"1,543",5.4,3.19,22,1.34
865,Rasgrf1,"117,071",Group1,"1,115",5.07,3.05,103,2.01
866,Csnk1g1,"136,093",Group1,842,5.13,2.93,32,1.51
867,Smad3,"111,229",Group1,"1,492",5.05,3.17,81,1.91
868,Tfdp2,"127,373",Group1,"1,021",5.11,3.01,40,1.6
869,Atp1b3,"31,789",Group1,416,4.5,2.62,51,1.71
870,Rasa2,"92,319",Group1,885,4.97,2.95,38,1.58
871,Me1,"114,584",Group1,"1,123",5.06,3.05,33,1.52
872,Dync1li1,"35,514",Group1,483,4.55,2.68,58,1.76
873,Stt3b,"67,842",Group1,815,4.83,2.91,91,1.96
874,Clstn2,"588,788",Group1,"4,411",5.77,3.64,60,1.78
875,Map4,"152,497",Group1,"1,192",5.18,3.08,30,1.48
876,Lrrfip2,"108,078",Group1,"1,043",5.03,3.02,34,1.53
877,Fbxl2,"82,556",Group1,"1,194",4.92,3.08,48,1.68
878,Wdr48,"31,711",Group1,443,4.5,2.65,37,1.57
879,Ephb1,"432,567",Group1,"4,490",5.64,3.65,24,1.38
880,Rab6b,"73,491",Group1,"1,199",4.87,3.08,43,1.63
881,Dnajc13,"111,650",Group1,"1,213",5.05,3.08,67,1.83
882,Mrpl3,"26,651",Group1,326,4.43,2.51,17,1.23
883,Cpne4,"487,260",Group1,"3,313",5.69,3.52,10,1
884,Atp2c1,"123,782",Group1,"1,212",5.09,3.08,25,1.4
885,Prkar2a,"61,124",Group1,667,4.79,2.82,19,1.28
886,Eml4,"129,432",Group1,"1,221",5.11,3.09,47,1.67
887,Thsd7a,"437,802",Group1,"2,701",5.64,3.43,27,1.43
888,AC166332.1,"237,724",Group1,"2,970",5.38,3.47,98,1.99
889,Exd2,"37,134",Group1,334,4.57,2.52,19,1.28
890,Ablim3,"112,459",Group1,"1,281",5.05,3.11,24,1.38
891,Gtf3c1,"66,828",Group1,772,4.82,2.89,55,1.74
892,Ank2,"577,740",Group1,"5,753",5.76,3.76,35,1.54
893,Ppp1r9a,"262,746",Group1,"2,908",5.42,3.46,24,1.38
894,Trpc1,"45,295",Group1,393,4.66,2.59,42,1.62
895,Pkd1,"46,676",Group1,599,4.67,2.78,51,1.71
896,Fbxw8,"90,501",Group1,"1,330",4.96,3.12,40,1.6
897,Arhgef17,"62,357",Group1,"1,137",4.79,3.06,58,1.76
898,Ccdc85a,"198,641",Group1,762,5.3,2.88,22,1.34
899,Itgbl1,"315,649",Group1,"1,924",5.5,3.28,22,1.34
900,Nup93,"102,665",Group1,869,5.01,2.94,36,1.56
901,RP23-306I3.1,"608,002",Group1,"3,526",5.78,3.55,13,1.11
902,Mycbp2,"233,405",Group1,"1,810",5.37,3.26,51,1.71
903,Ogfod1,"30,725",Group1,352,4.49,2.55,68,1.83
904,Lmo7,"204,755",Group1,"2,162",5.31,3.33,69,1.84
905,Pfkm,"39,864",Group1,753,4.6,2.88,14,1.15
906,Gas7,"233,555",Group1,"2,347",5.37,3.37,79,1.9
907,Mgll,"103,950",Group1,"1,579",5.02,3.2,41,1.61
908,Ttc28,"409,979",Group1,"5,447",5.61,3.74,56,1.75
909,Ptprm,"687,512",Group1,"7,168",5.84,3.86,92,1.96
910,Lpp,"599,073",Group1,"4,782",5.78,3.68,56,1.75
911,Dpyd,"870,797",Group1,"4,775",5.94,3.68,23,1.36
912,Galnt9,"77,027",Group1,884,4.89,2.95,56,1.75
913,Map2k4,"100,056",Group1,698,5,2.84,32,1.51
914,Fntb,"155,825",Group1,"2,004",5.19,3.3,25,1.4
915,Arhgap44,"160,924",Group1,"1,804",5.21,3.26,27,1.43
916,Clasp2,"178,211",Group1,"1,590",5.25,3.2,62,1.79
917,Snap91,"114,733",Group1,"1,137",5.06,3.06,61,1.79
918,Antxr1,"201,970",Group1,"2,310",5.31,3.36,17,1.23
919,Otud7a,"314,279",Group1,"2,440",5.5,3.39,59,1.77
920,Ttc7b,"220,058",Group1,"2,377",5.34,3.38,47,1.67
921,Adgrb3,"762,233",Group1,"4,931",5.88,3.69,126,2.1
922,Myo6,"146,700",Group1,"1,382",5.17,3.14,50,1.7
923,Pank1,"68,563",Group1,916,4.84,2.96,21,1.32
924,Cplx1,"31,472",Group1,263,4.5,2.42,40,1.6
925,Map3k13,"139,095",Group1,"1,607",5.14,3.21,27,1.43
926,Hacd3,"34,712",Group1,389,4.54,2.59,36,1.56
927,Vps8,"221,564",Group1,"2,404",5.35,3.38,32,1.51
928,Foxn3,"373,506",Group1,"5,190",5.57,3.72,65,1.81
929,Sfxn5,"120,375",Group1,"1,276",5.08,3.11,41,1.61
930,Vav3,"345,047",Group1,"2,526",5.54,3.4,52,1.72
931,Exoc6b,"451,028",Group1,"2,707",5.65,3.43,16,1.2
932,Ephx4,"27,301",Group1,245,4.44,2.39,19,1.28
933,Ppargc1b,"102,297",Group1,"1,329",5.01,3.12,65,1.81
934,Pxk,"66,908",Group1,806,4.83,2.91,40,1.6
935,Map9,"37,226",Group1,504,4.57,2.7,28,1.45
936,Zswim5,"111,890",Group1,851,5.05,2.93,95,1.98
937,Jcad,"47,941",Group1,476,4.68,2.68,25,1.4
938,Wbscr17,"436,417",Group1,"3,661",5.64,3.56,15,1.18
939,Fstl5,"635,751",Group1,"2,771",5.8,3.44,28,1.45
940,Tpst1,"62,405",Group1,844,4.8,2.93,12,1.08
941,Tmem63c,"68,705",Group1,769,4.84,2.89,20,1.3
942,Bzrap1,"25,389",Group1,455,4.4,2.66,17,1.23
943,Faah,"50,783",Group1,671,4.71,2.83,21,1.32
944,Nsf,"132,276",Group1,"1,918",5.12,3.28,52,1.72
945,Usp54,"92,153",Group1,678,4.96,2.83,54,1.73
946,Golgb1,"57,947",Group1,761,4.76,2.88,43,1.63
947,Zdhhc14,"261,256",Group1,"2,931",5.42,3.47,77,1.89
948,Igsf9b,"58,344",Group1,848,4.77,2.93,45,1.65
949,Fhod3,"424,057",Group1,"3,425",5.63,3.53,54,1.73
950,Tmem132d,"651,449",Group1,"5,905",5.81,3.77,42,1.62
951,Iqsec1,"332,599",Group1,"2,401",5.52,3.38,47,1.67
952,Mtmr3,"113,997",Group1,863,5.06,2.94,22,1.34
953,Cmip,"202,368",Group1,"3,352",5.31,3.53,126,2.1
954,Kcnh5,"280,114",Group1,"1,796",5.45,3.25,45,1.65
955,Edil3,"501,753",Group1,"2,306",5.7,3.36,15,1.18
956,RP23-233B6.2,"52,723",Group1,498,4.72,2.7,25,1.4
957,Exph5,"75,846",Group1,676,4.88,2.83,23,1.36
958,Slc41a2,"107,036",Group1,"1,285",5.03,3.11,30,1.48
959,Myo5a,"152,675",Group1,"1,025",5.18,3.01,28,1.45
960,Mon2,"84,447",Group1,"1,036",4.93,3.02,36,1.56
961,Ppm1h,"267,035",Group1,"3,829",5.43,3.58,41,1.61
962,Gpatch8,"80,479",Group1,766,4.91,2.88,26,1.41
963,Zyg11b,"71,374",Group1,777,4.85,2.89,37,1.57
964,Cacna1a,"251,808",Group1,"3,208",5.4,3.51,14,1.15
965,Fras1,"410,775",Group1,"3,925",5.61,3.59,33,1.52
966,Ppp1r21,"58,251",Group1,882,4.77,2.95,45,1.65
967,Dgkh,"174,028",Group1,"2,381",5.24,3.38,67,1.83
968,Mast4,"602,013",Group1,"6,794",5.78,3.83,79,1.9
969,Map4k5,"89,452",Group1,"1,096",4.95,3.04,42,1.62
970,B3galt1,"556,820",Group1,"3,398",5.75,3.53,77,1.89
971,Unc13a,"47,342",Group1,923,4.68,2.97,33,1.52
972,Grip1,"633,433",Group1,"8,062",5.8,3.91,69,1.84
973,Ttc21b,"72,292",Group1,732,4.86,2.86,42,1.62
974,Ankrd27,"52,984",Group1,795,4.72,2.9,142,2.15
975,Filip1,"197,802",Group1,"2,190",5.3,3.34,11,1.04
976,Mdga2,"756,491",Group1,"3,926",5.88,3.59,35,1.54
977,Parm1,"109,281",Group1,911,5.04,2.96,27,1.43
978,Htr2a,"68,656",Group1,621,4.84,2.79,32,1.51
979,Ncapd3,"65,142",Group1,672,4.81,2.83,96,1.98
980,Dhx57,"52,174",Group1,695,4.72,2.84,23,1.36
981,Eef2k,"64,621",Group1,781,4.81,2.89,29,1.46
982,Xkr6,"214,308",Group1,"2,322",5.33,3.37,40,1.6
983,Secisbp2l,"45,886",Group1,546,4.66,2.74,26,1.41
984,Dcbld2,"61,286",Group1,711,4.79,2.85,42,1.62
985,Brinp3,"407,714",Group1,"1,925",5.61,3.28,17,1.23
986,Arhgap5,"68,005",Group1,427,4.83,2.63,85,1.93
987,Ap2b1,"106,013",Group1,917,5.03,2.96,62,1.79
988,Mitf,"214,299",Group1,"1,984",5.33,3.3,35,1.54
989,Tanc1,"234,109",Group1,"3,323",5.37,3.52,53,1.72
990,Ano4,"395,770",Group1,"2,683",5.6,3.43,61,1.79
991,Lars2,"95,741",Group1,695,4.98,2.84,28,1.45
992,Rims4,"58,934",Group1,862,4.77,2.94,110,2.04
993,Scai,"124,522",Group1,687,5.1,2.84,41,1.61
994,Abi3bp,"212,259",Group1,"1,457",5.33,3.16,26,1.41
995,Helq,"36,455",Group1,645,4.56,2.81,49,1.69
996,Raver2,"83,389",Group1,"1,084",4.92,3.04,41,1.61
997,Ror1,"348,976",Group1,"2,946",5.54,3.47,18,1.26
998,Gnptab,"68,199",Group1,"1,036",4.83,3.02,46,1.66
999,Uvrag,"256,122",Group1,"3,053",5.41,3.48,53,1.72
1000,Pdzrn3,"228,290",Group1,"2,511",5.36,3.4,51,1.71
1001,Brsk1,"25,395",Group1,444,4.4,2.65,19,1.28
1002,Dennd1a,"488,401",Group1,"2,777",5.69,3.44,30,1.48
1003,Rabgap1,"123,177",Group1,724,5.09,2.86,45,1.65
1004,Tdrd7,"69,429",Group1,718,4.84,2.86,21,1.32
1005,Zcchc7,"176,340",Group1,"1,122",5.25,3.05,15,1.18
1006,Lrfn5,"335,194",Group1,"1,644",5.53,3.22,58,1.76
1007,Kcnc2,"195,905",Group1,"1,545",5.29,3.19,55,1.74
1008,Rnf38,"107,581",Group1,"1,096",5.03,3.04,120,2.08
1009,Dync1li2,"25,369",Group1,469,4.4,2.67,15,1.18
1010,Syt1,"513,334",Group1,"4,072",5.71,3.61,39,1.59
1011,Zhx3,"124,292",Group1,862,5.09,2.94,48,1.68
1012,Gramd4,"79,941",Group1,"1,382",4.9,3.14,28,1.45
1013,Cog5,"282,763",Group1,"1,988",5.45,3.3,51,1.71
1014,Pknox2,"256,427",Group1,"2,359",5.41,3.37,24,1.38
1015,Dock4,"400,924",Group1,"3,232",5.6,3.51,54,1.73
1016,Rusc2,"45,111",Group1,863,4.65,2.94,57,1.76
1017,Fam65b,"151,629",Group1,"1,666",5.18,3.22,30,1.48
1018,Tmtc2,"386,790",Group1,"3,187",5.59,3.5,57,1.76
1019,Tmem63b,"26,736",Group1,615,4.43,2.79,26,1.41
1020,Fmnl2,"275,946",Group1,"2,671",5.44,3.43,67,1.83
1021,Dgkb,"816,515",Group1,"4,131",5.91,3.62,15,1.18
1022,Vezt,"96,654",Group1,913,4.99,2.96,113,2.05
1023,Metap2,"38,606",Group1,438,4.59,2.64,17,1.23
1024,Mgat5,"283,323",Group1,"3,021",5.45,3.48,37,1.57
1025,Rorb,"180,593",Group1,"1,392",5.26,3.14,37,1.57
1026,Pdzrn4,"374,940",Group1,"3,851",5.57,3.59,34,1.53
1027,Kctd1,"182,763",Group1,"2,082",5.26,3.32,21,1.32
1028,RP24-179D17.1,"107,433",Group1,542,5.03,2.73,25,1.4
1029,Fstl4,"423,906",Group1,"4,197",5.63,3.62,49,1.69
1030,Lrrk2,"142,947",Group1,"1,357",5.16,3.13,36,1.56
1031,Slc2a13,"305,567",Group1,"3,163",5.49,3.5,39,1.59
1032,Lzts1,"51,558",Group1,449,4.71,2.65,33,1.52
1033,Kidins220,"88,229",Group1,949,4.95,2.98,28,1.45
1034,Csgalnact1,"378,367",Group1,"2,501",5.58,3.4,44,1.64
1035,AC166328.1,"217,044",Group1,"2,972",5.34,3.47,27,1.43
1036,Gng12,"124,955",Group1,"1,307",5.1,3.12,38,1.58
1037,Gpi1,"29,008",Group1,441,4.46,2.64,34,1.53
1038,Arhgap26,"774,752",Group1,"7,778",5.89,3.89,106,2.03
1039,Megf11,"323,581",Group1,"3,357",5.51,3.53,34,1.53
1040,1-Mar,"853,739",Group1,"4,406",5.93,3.64,9,0.95
1041,Rnf13,"99,173",Group1,631,5,2.8,42,1.62
1042,Cdh8,"392,002",Group1,"1,979",5.59,3.3,50,1.7
1043,Ppp6r2,"75,459",Group1,713,4.88,2.85,75,1.88
1044,Arhgap21,"120,964",Group1,"1,297",5.08,3.11,87,1.94
1045,Tssc1,"118,064",Group1,"1,149",5.07,3.06,70,1.85
1046,Etl4,"900,935",Group1,"6,460",5.95,3.81,44,1.64
1047,Ccdc148,"339,615",Group1,"2,371",5.53,3.37,179,2.25
1048,Cyld,"54,919",Group1,340,4.74,2.53,40,1.6
1049,Ttll7,"131,644",Group1,"1,400",5.12,3.15,33,1.52
1050,Kcnk9,"45,253",Group1,358,4.66,2.55,164,2.21
1051,Dner,"326,384",Group1,"2,526",5.51,3.4,27,1.43
1052,Mbd5,"375,899",Group1,"2,050",5.58,3.31,59,1.77
1053,Fam135b,"296,231",Group1,"1,665",5.47,3.22,58,1.76
1054,Dpp10,"724,090",Group1,"2,937",5.86,3.47,70,1.85
1055,Sun1,"49,205",Group1,511,4.69,2.71,57,1.76
1056,Ssx2ip,"35,504",Group1,668,4.55,2.82,50,1.7
1057,Gtdc1,"363,247",Group1,"2,131",5.56,3.33,32,1.51
1058,Neto2,"64,338",Group1,396,4.81,2.6,59,1.77
1059,Kif1bp,"39,833",Group1,567,4.6,2.75,37,1.57
1060,Hk1,"111,055",Group1,"1,782",5.05,3.25,13,1.11
1061,Mmaa,"31,341",Group1,295,4.5,2.47,63,1.8
1062,Sh3glb1,"36,659",Group1,500,4.56,2.7,52,1.72
1063,Rab11fip3,"80,375",Group1,"1,109",4.91,3.04,53,1.72
1064,Ralgapa2,"272,467",Group1,"1,919",5.44,3.28,14,1.15
1065,Sik2,"116,274",Group1,817,5.07,2.91,62,1.79
1066,Aff3,"487,631",Group1,"6,041",5.69,3.78,19,1.28
1067,Arhgap10,"267,589",Group1,"3,515",5.43,3.55,68,1.83
1068,Lrrc20,"106,992",Group1,"1,352",5.03,3.13,45,1.65
1069,Zfyve28,"93,558",Group1,"1,050",4.97,3.02,58,1.76
1070,Dzank1,"56,859",Group1,519,4.75,2.72,78,1.89
1071,Tbcel,"95,495",Group1,"1,141",4.98,3.06,34,1.53
1072,Ttc13,"50,653",Group1,931,4.7,2.97,70,1.85
1073,Man1c1,"142,602",Group1,"2,400",5.15,3.38,66,1.82
1074,Rims2,"486,113",Group1,"3,093",5.69,3.49,170,2.23
1075,Atp11b,"102,172",Group1,706,5.01,2.85,59,1.77
1076,Dmxl1,"132,805",Group1,750,5.12,2.88,49,1.69
1077,Ints7,"48,054",Group1,574,4.68,2.76,94,1.97
1078,Uggt1,"104,695",Group1,"1,231",5.02,3.09,21,1.32
1079,Ubr5,"111,528",Group1,"1,132",5.05,3.05,70,1.85
1080,Zmat4,"520,568",Group1,"4,476",5.72,3.65,33,1.52
1081,Ppfia1,"76,973",Group1,621,4.89,2.79,58,1.76
1082,Rapgef6,"176,440",Group1,"1,179",5.25,3.07,58,1.76
1083,Shank2,"422,568",Group1,"3,908",5.63,3.59,12,1.08
1084,Adgrl3,"804,997",Group1,"5,744",5.91,3.76,74,1.87
1085,Kcnk2,"194,345",Group1,"1,905",5.29,3.28,28,1.45
1086,Kctd8,"232,396",Group1,"1,244",5.37,3.09,20,1.3
1087,Slc20a2,"92,826",Group1,"1,444",4.97,3.16,89,1.95
1088,Atp8a1,"229,296",Group1,"2,680",5.36,3.43,64,1.81
1089,Ddhd1,"69,678",Group1,923,4.84,2.97,53,1.72
1090,Fam13a,"92,461",Group1,561,4.97,2.75,18,1.26
1091,Limch1,"311,333",Group1,"3,596",5.49,3.56,48,1.68
1092,Fam222b,"62,042",Group1,697,4.79,2.84,28,1.45
1093,Vopp1,"97,354",Group1,649,4.99,2.81,30,1.48
1094,Ctnna1,"135,887",Group1,"1,042",5.13,3.02,69,1.84
1095,Tspan14,"60,364",Group1,652,4.78,2.81,79,1.9
1096,Ppm1k,"28,968",Group1,284,4.46,2.45,43,1.63
1097,Ssh2,"243,935",Group1,"1,426",5.39,3.15,64,1.81
1098,Inpp4b,"785,360",Group1,"4,051",5.9,3.61,49,1.69
1099,Ano10,"118,551",Group1,"1,202",5.07,3.08,34,1.53
1100,Zc3h7a,"39,803",Group1,526,4.6,2.72,44,1.64
1101,Wnk2,"111,713",Group1,"1,446",5.05,3.16,37,1.57
1102,Sh3rf3,"325,559",Group1,"2,996",5.51,3.48,110,2.04
1103,Slc24a2,"247,355",Group1,"2,046",5.39,3.31,36,1.56
1104,Arap2,"163,716",Group1,"1,164",5.21,3.07,75,1.88
1105,Wipf2,"41,404",Group1,604,4.62,2.78,48,1.68
1106,Cntnap5c,"640,787",Group1,"2,721",5.81,3.43,31,1.49
1107,Kmt2c,"226,987",Group1,"1,398",5.36,3.15,189,2.28
1108,Cntln,"247,614",Group1,"1,556",5.39,3.19,49,1.69
1109,Galnt11,"44,016",Group1,748,4.64,2.87,22,1.34
1110,Opa1,"75,552",Group1,696,4.88,2.84,26,1.41
1111,Mphosph9,"77,015",Group1,"1,004",4.89,3,45,1.65
1112,Ccdc50,"63,351",Group1,581,4.8,2.76,24,1.38
1113,Camk4,"256,728",Group1,"2,265",5.41,3.36,30,1.48
1114,Tmem181a,"51,456",Group1,944,4.71,2.97,30,1.48
1115,Stox2,"266,316",Group1,"3,840",5.43,3.58,33,1.52
1116,Spon1,"277,374",Group1,"2,437",5.44,3.39,24,1.38
1117,P3h2,"146,498",Group1,"1,021",5.17,3.01,37,1.57
1118,Ttc39b,"103,957",Group1,"1,343",5.02,3.13,41,1.61
1119,Fam126b,"63,519",Group1,354,4.8,2.55,37,1.57
1120,Slc43a2,"45,883",Group1,688,4.66,2.84,73,1.86
1121,Btbd10,"53,768",Group1,297,4.73,2.47,65,1.81
1122,Prkab2,"15,621",Group1,285,4.19,2.45,43,1.63
1123,Pdss2,"243,398",Group1,"2,288",5.39,3.36,57,1.76
1124,Sobp,"172,032",Group1,"2,287",5.24,3.36,96,1.98
1125,Neurod2,"4,235",Group1,286,3.63,2.46,26,1.41
1126,Bcl9,"94,257",Group1,"1,336",4.97,3.13,37,1.57
1127,Slc22a23,"166,026",Group1,"1,436",5.22,3.16,74,1.87
1128,Snx25,"118,900",Group1,"1,126",5.08,3.05,97,1.99
1129,Galnt18,"308,318",Group1,"2,309",5.49,3.36,50,1.7
1130,Snx10,"66,780",Group1,938,4.82,2.97,26,1.41
1131,Spats2l,"174,234",Group1,"1,802",5.24,3.26,28,1.45
1132,Trpc4ap,"58,115",Group1,681,4.76,2.83,31,1.49
1133,Satb2,"184,671",Group1,"1,878",5.27,3.27,24,1.38
1134,Mlxip,"63,136",Group1,600,4.8,2.78,39,1.59
1135,Plcl1,"348,366",Group1,"2,608",5.54,3.42,52,1.72
1136,Focad,"316,384",Group1,"2,422",5.5,3.38,27,1.43
1137,Mpp6,"88,700",Group1,770,4.95,2.89,74,1.87
1138,Nos1ap,"287,195",Group1,"2,725",5.46,3.44,49,1.69
1139,Cdk19,"144,256",Group1,"1,375",5.16,3.14,27,1.43
1140,Otud7b,"56,604",Group1,423,4.75,2.63,60,1.78
1141,Cbfa2t2,"102,877",Group1,743,5.01,2.87,68,1.83
1142,Ranbp9,"78,609",Group1,688,4.9,2.84,101,2
1143,Ift172,"37,841",Group1,512,4.58,2.71,40,1.6
1144,Susd4,"132,733",Group1,"1,788",5.12,3.25,61,1.79
1145,Cep85l,"106,506",Group1,673,5.03,2.83,19,1.28
1146,Slc35f1,"421,091",Group1,"2,292",5.62,3.36,21,1.32
1147,Dock10,"257,456",Group1,"1,722",5.41,3.24,45,1.65
1148,Herc1,"158,327",Group1,967,5.2,2.99,50,1.7
1149,Trps1,"235,713",Group1,"1,813",5.37,3.26,27,1.43
1150,Mapkap1,"218,181",Group1,"1,836",5.34,3.26,23,1.36
1151,Golga4,"76,254",Group1,"1,010",4.88,3,37,1.57
1152,Wdr26,"38,326",Group1,471,4.58,2.67,121,2.08
1153,Mvb12b,"157,995",Group1,"2,128",5.2,3.33,16,1.2
1154,Ptpn3,"110,998",Group1,"1,741",5.05,3.24,27,1.43
1155,Smurf1,"89,354",Group1,"1,284",4.95,3.11,75,1.88
1156,Rap1gap2,"227,561",Group1,"2,604",5.36,3.42,40,1.6
1157,Hace1,"134,518",Group1,"1,007",5.13,3,22,1.34
1158,Ralgps1,"238,071",Group1,"2,469",5.38,3.39,47,1.67
1159,Kif16b,"284,059",Group1,"1,930",5.45,3.29,73,1.86
1160,Garnl3,"145,432",Group1,"1,351",5.16,3.13,30,1.48
1161,Zcchc2,"43,670",Group1,672,4.64,2.83,67,1.83
1162,Zfhx3,"1,018,988",Group1,"13,273",6.01,4.12,22,1.34
1163,Plcl2,"178,948",Group1,"1,700",5.25,3.23,133,2.12
1164,Supt3,"342,140",Group1,"2,490",5.53,3.4,45,1.65
1165,Lmtk2,"87,770",Group1,"1,098",4.94,3.04,48,1.68
1166,Ube3c,"106,852",Group1,629,5.03,2.8,56,1.75
1167,Arhgap18,"165,229",Group1,"1,305",5.22,3.12,31,1.49
1168,Osbpl2,"43,376",Group1,452,4.64,2.66,56,1.75
1169,Myo16,"480,833",Group1,"4,435",5.68,3.65,38,1.58
1170,Ak5,"205,547",Group1,"2,422",5.31,3.38,17,1.23
1171,Rreb1,"173,607",Group1,"2,295",5.24,3.36,51,1.71
1172,L3mbtl3,"101,505",Group1,"1,229",5.01,3.09,54,1.73
1173,Itga9,"294,315",Group1,"3,664",5.47,3.56,42,1.62
1174,Prune2,"267,816",Group1,"2,357",5.43,3.37,53,1.72
1175,Camk1d,"421,060",Group1,"4,127",5.62,3.62,84,1.92
1176,Runx2,"318,812",Group1,"3,558",5.5,3.55,15,1.18
1177,Akap7,"138,782",Group1,"1,580",5.14,3.2,16,1.2
1178,Rbpj,"191,212",Group1,"2,144",5.28,3.33,28,1.45
1179,Adk,"395,997",Group1,"3,416",5.6,3.53,65,1.81
1180,Daglb,"41,360",Group1,700,4.62,2.85,41,1.61
1181,Gpatch2,"136,198",Group1,"1,630",5.13,3.21,29,1.46
1182,Prrc2b,"83,457",Group1,"1,509",4.92,3.18,45,1.65
1183,Foxk2,"49,908",Group1,615,4.7,2.79,81,1.91
1184,Fndc3b,"295,147",Group1,"3,875",5.47,3.59,27,1.43
1185,Cdk5rap2,"193,589",Group1,"1,873",5.29,3.27,31,1.49
1186,Rab3gap2,"82,644",Group1,"1,075",4.92,3.03,53,1.72
1187,4-Mar,"109,820",Group1,"1,069",5.04,3.03,46,1.66
1188,Wdr17,"258,131",Group1,"1,544",5.41,3.19,14,1.15
1189,Cdh6,"144,976",Group1,"1,630",5.16,3.21,44,1.64
1190,Cntnap2,"2,244,858",Group1,"9,969",6.35,4,11,1.04
1191,Tmem135,"264,510",Group1,"2,114",5.42,3.33,95,1.98
1192,Mtmr7,"83,704",Group1,"1,003",4.92,3,37,1.57
