gene_id,group,mc_type,var_dim,gene_type,Correlation_5mC,new.P.value_5mC,new.P.adjust_5mC,Correlation_5hmC,new.P.value_5hmC,new.P.adjust_5hmC,Correlation_mC_hmC,new.P.value_mC_hmC,new.P.adjust_mC_hmC,gene_name,Gene_length,Cpg_number
ENSMUSG00000034473.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.97 ,0.98 ,0.01 ,0.03 ,0.04 ,0.00 ,0.60 ,0.70 ,Sec22a,"52,789",424
ENSMUSG00000034544.17,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.18 ,0.27 ,0.01 ,0.05 ,0.08 ,0.01 ,0.02 ,0.04 ,Rsrc1,"377,008","2,710"
ENSMUSG00000034610.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.90 ,0.94 ,0.01 ,0.01 ,0.02 ,0.00 ,0.66 ,0.75 ,Zcchc11,"99,997",642
ENSMUSG00000034723.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.95 ,0.97 ,0.02 ,0.00 ,0.00 ,0.00 ,0.89 ,0.93 ,Tmx4,"49,962",291
ENSMUSG00000034761.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.26 ,0.37 ,0.01 ,0.01 ,0.02 ,0.00 ,0.66 ,0.75 ,Map4k5,"89,452","1,096"
ENSMUSG00000034799.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.13 ,0.21 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.13 ,0.20 ,Unc13a,"47,342",923
ENSMUSG00000034848.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.10 ,0.15 ,0.02 ,0.00 ,0.00 ,0.00 ,0.67 ,0.76 ,Ttc21b,"72,292",732
ENSMUSG00000034973.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.23 ,0.32 ,0.01 ,0.00 ,0.01 ,0.00 ,0.56 ,0.67 ,Dopey1,"88,771",631
ENSMUSG00000035024.16,[5hmCH +],CH,genebody,all_gene,0.01 ,0.06 ,0.09 ,0.01 ,0.03 ,0.05 ,0.01 ,0.08 ,0.13 ,Ncapd3,"65,142",672
ENSMUSG00000035051.14,[5hmCH +],CH,genebody,all_gene,0.01 ,0.13 ,0.20 ,0.01 ,0.01 ,0.02 ,0.01 ,0.10 ,0.16 ,Dhx57,"52,174",695
ENSMUSG00000035093.16,[5mCH -],CH,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.00 ,0.95 ,0.96 ,-0.01 ,0.19 ,0.28 ,Secisbp2l,"45,886",546
ENSMUSG00000035161.7,[5hmCH +],CH,genebody,all_gene,0.00 ,0.43 ,0.54 ,0.03 ,0.00 ,0.00 ,0.00 ,0.94 ,0.96 ,Ints6,"84,841",516
ENSMUSG00000035173.14,[5mCH -],CH,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.20 ,0.23 ,-0.01 ,0.05 ,0.08 ,Ccdc186,"34,711",480
ENSMUSG00000035202.8,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.00 ,0.80 ,0.86 ,0.01 ,0.10 ,0.12 ,0.02 ,0.00 ,0.00 ,Lars2,"95,741",695
ENSMUSG00000035354.9,[5hmCH +],CH,genebody,all_gene,0.00 ,0.82 ,0.87 ,0.01 ,0.01 ,0.02 ,0.01 ,0.09 ,0.15 ,Uvrag,"256,122","3,053"
ENSMUSG00000035401.9,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.10 ,0.16 ,0.01 ,0.01 ,0.02 ,0.00 ,0.66 ,0.75 ,RP23-331A21.2,"69,648",546
ENSMUSG00000035437.15,[5hmCH +],CH,genebody,all_gene,0.00 ,1.00 ,1.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.23 ,0.33 ,Rabgap1,"123,177",724
ENSMUSG00000035441.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.39 ,0.50 ,0.03 ,0.00 ,0.00 ,0.01 ,0.16 ,0.24 ,Myo1d,"297,901","2,834"
ENSMUSG00000035517.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.18 ,0.26 ,0.01 ,0.02 ,0.03 ,0.00 ,0.51 ,0.63 ,Tdrd7,"69,429",718
ENSMUSG00000035545.13,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.24 ,0.35 ,0.01 ,0.01 ,0.02 ,0.00 ,0.49 ,0.61 ,Leng8,"11,140",234
ENSMUSG00000035569.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.13 ,0.20 ,0.02 ,0.00 ,0.00 ,0.00 ,0.56 ,0.67 ,Ankrd11,"158,457","1,810"
ENSMUSG00000035572.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.81 ,0.87 ,0.02 ,0.00 ,0.00 ,0.00 ,0.60 ,0.70 ,Dcaf10,"37,660",360
ENSMUSG00000035597.19,[5hmCH +],CH,genebody,all_gene,0.00 ,0.65 ,0.74 ,0.02 ,0.00 ,0.00 ,0.00 ,0.53 ,0.64 ,Prpf39,"27,055",208
ENSMUSG00000035614.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.63 ,0.72 ,0.01 ,0.03 ,0.05 ,0.00 ,0.49 ,0.61 ,Fam179b,"56,771",414
ENSMUSG00000035623.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.51 ,0.62 ,0.01 ,0.03 ,0.04 ,0.00 ,0.93 ,0.95 ,Rsf1,"112,891",883
ENSMUSG00000035629.18,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.06 ,0.10 ,0.01 ,0.01 ,0.02 ,-0.01 ,0.28 ,0.39 ,Rubcn,"56,065",768
ENSMUSG00000035649.17,[5hmCH +],CH,genebody,all_gene,0.00 ,0.58 ,0.68 ,0.04 ,0.00 ,0.00 ,0.01 ,0.04 ,0.07 ,Zcchc7,"176,340","1,122"
ENSMUSG00000035762.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.41 ,0.53 ,0.02 ,0.00 ,0.00 ,0.01 ,0.14 ,0.22 ,Tmem161b,"73,847",504
ENSMUSG00000035992.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.55 ,0.65 ,0.02 ,0.00 ,0.00 ,0.00 ,0.33 ,0.45 ,Fnip1,"80,038",461
ENSMUSG00000036026.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.96 ,0.98 ,0.01 ,0.01 ,0.01 ,0.00 ,0.93 ,0.95 ,Tmem63b,"26,736",615
ENSMUSG00000036097.7,[5hmCH +],CH,genebody,all_gene,0.00 ,0.99 ,0.99 ,0.01 ,0.03 ,0.04 ,0.00 ,0.52 ,0.63 ,Slf2,"52,670",448
ENSMUSG00000036278.6,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.06 ,0.10 ,0.00 ,0.92 ,0.93 ,0.01 ,0.01 ,0.02 ,Macrod1,"141,295","2,268"
ENSMUSG00000036371.6,[5hmCH +],CH,genebody,all_gene,0.00 ,0.38 ,0.49 ,0.02 ,0.00 ,0.00 ,0.00 ,0.58 ,0.69 ,Serbp1,"59,562",536
ENSMUSG00000036427.5,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.12 ,0.19 ,0.02 ,0.00 ,0.00 ,0.00 ,0.63 ,0.73 ,Gpi1,"29,008",441
ENSMUSG00000036435.13,[5hmCH +],CH,genebody,all_gene,0.00 ,0.77 ,0.84 ,0.02 ,0.00 ,0.00 ,0.00 ,0.96 ,0.98 ,Exoc1,"40,985",538
ENSMUSG00000036438.12,[5hmCH +],CH,genebody,all_gene,0.00 ,0.95 ,0.97 ,0.02 ,0.00 ,0.00 ,0.00 ,0.97 ,0.98 ,Calm2,"13,525",253
ENSMUSG00000036499.9,[5hmCH +],CH,genebody,all_gene,0.00 ,0.60 ,0.70 ,0.02 ,0.00 ,0.00 ,0.01 ,0.08 ,0.13 ,Eea1,"104,870",813
ENSMUSG00000036503.13,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.26 ,0.36 ,0.01 ,0.00 ,0.01 ,0.00 ,0.98 ,0.99 ,Rnf13,"99,173",631
ENSMUSG00000036561.8,[5hmCH +],CH,genebody,all_gene,0.00 ,0.57 ,0.67 ,0.01 ,0.02 ,0.03 ,0.00 ,0.72 ,0.80 ,Ppp6r2,"75,459",713
ENSMUSG00000036644.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.82 ,0.87 ,0.02 ,0.00 ,0.00 ,0.00 ,0.82 ,0.88 ,Tbc1d9b,"41,391",581
ENSMUSG00000036667.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.71 ,0.79 ,0.02 ,0.00 ,0.00 ,0.01 ,0.08 ,0.13 ,Tcaf1,"42,088",363
ENSMUSG00000036707.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.13 ,0.20 ,0.01 ,0.01 ,0.02 ,0.00 ,0.40 ,0.52 ,Cab39,"58,137",521
ENSMUSG00000036779.12,[5hmCH +],CH,genebody,all_gene,0.00 ,0.96 ,0.98 ,0.01 ,0.02 ,0.03 ,0.01 ,0.33 ,0.45 ,Papd5,"60,511",734
ENSMUSG00000037022.3,[5hmCH +],CH,genebody,all_gene,0.00 ,0.49 ,0.60 ,0.02 ,0.00 ,0.01 ,0.00 ,0.61 ,0.71 ,Mmaa,"31,341",295
ENSMUSG00000037098.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.05 ,0.09 ,0.02 ,0.00 ,0.00 ,0.00 ,0.95 ,0.96 ,Rab11fip3,"80,375","1,109"
ENSMUSG00000037210.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.26 ,0.36 ,0.02 ,0.00 ,0.00 ,0.00 ,0.53 ,0.64 ,Fam193a,"116,525",828
ENSMUSG00000037236.14,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.24 ,0.34 ,0.01 ,0.06 ,0.08 ,0.01 ,0.02 ,0.04 ,Matr3,"31,691",281
ENSMUSG00000037259.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.11 ,0.17 ,0.03 ,0.00 ,0.00 ,0.00 ,0.86 ,0.90 ,Dzank1,"56,859",519
ENSMUSG00000037266.18,[5hmCH +],CH,genebody,all_gene,0.01 ,0.07 ,0.12 ,0.02 ,0.01 ,0.02 ,0.01 ,0.03 ,0.06 ,Rsrp1,"4,081",140
ENSMUSG00000037287.15,[5mCH -],CH,genebody,all_gene,-0.01 ,0.01 ,0.02 ,-0.01 ,0.20 ,0.23 ,-0.01 ,0.03 ,0.06 ,Tbcel,"95,495","1,141"
ENSMUSG00000037326.10,[5hmCH +],CH,genebody,all_gene,0.00 ,0.81 ,0.87 ,0.02 ,0.00 ,0.01 ,0.00 ,0.92 ,0.95 ,Capn15,"27,434",366
ENSMUSG00000037343.8,[5hmCH +],CH,genebody,all_gene,0.00 ,0.58 ,0.68 ,0.01 ,0.01 ,0.02 ,0.01 ,0.11 ,0.18 ,Taf2,"57,023",658
ENSMUSG00000037400.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.22 ,0.32 ,0.03 ,0.00 ,0.00 ,0.01 ,0.05 ,0.08 ,Atp11b,"102,172",706
ENSMUSG00000037486.18,[5hmCH +],CH,genebody,all_gene,0.00 ,0.93 ,0.96 ,0.02 ,0.00 ,0.00 ,0.00 ,0.56 ,0.67 ,Asxl2,"79,997",598
ENSMUSG00000037487.7,[5hmCH +],CH,genebody,all_gene,0.00 ,0.40 ,0.52 ,0.02 ,0.00 ,0.00 ,0.01 ,0.30 ,0.41 ,Ubr5,"111,528","1,132"
ENSMUSG00000037503.12,[5mCH -],CH,genebody,all_gene,-0.01 ,0.01 ,0.02 ,0.01 ,0.05 ,0.07 ,-0.01 ,0.17 ,0.26 ,Fam168b,"29,848",353
ENSMUSG00000037514.17,[5hmCH +],CH,genebody,all_gene,0.00 ,0.88 ,0.92 ,0.01 ,0.03 ,0.04 ,0.01 ,0.33 ,0.44 ,Pank2,"36,695",336
ENSMUSG00000037608.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.38 ,0.49 ,0.02 ,0.00 ,0.00 ,0.00 ,0.46 ,0.58 ,Bclaf1,"32,146",332
ENSMUSG00000037652.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.08 ,0.13 ,0.02 ,0.00 ,0.00 ,0.00 ,0.90 ,0.93 ,Phc3,"70,046",704
ENSMUSG00000037669.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.48 ,0.59 ,0.02 ,0.00 ,0.01 ,0.00 ,0.73 ,0.81 ,Ldah,"77,654",739
ENSMUSG00000037692.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.43 ,0.54 ,0.01 ,0.01 ,0.02 ,0.00 ,0.79 ,0.86 ,Ahdc1,"66,852","1,350"
ENSMUSG00000037697.19,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.05 ,0.09 ,0.02 ,0.00 ,0.00 ,0.00 ,0.44 ,0.56 ,Ddhd1,"69,678",923
ENSMUSG00000037826.5,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.03 ,0.05 ,0.01 ,0.02 ,0.03 ,-0.01 ,0.07 ,0.12 ,Ppm1k,"28,968",284
ENSMUSG00000037857.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.71 ,0.79 ,0.02 ,0.00 ,0.00 ,0.00 ,0.45 ,0.56 ,Nufip2,"55,768",508
ENSMUSG00000037989.15,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.17 ,0.21 ,-0.01 ,0.29 ,0.40 ,Wnk2,"111,713","1,446"
ENSMUSG00000038014.7,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.09 ,0.14 ,0.01 ,0.02 ,0.03 ,0.00 ,0.48 ,0.59 ,Fam120a,"88,800",842
ENSMUSG00000038039.13,[5mCH +],CH,genebody,all_gene,0.01 ,0.02 ,0.04 ,0.01 ,0.17 ,0.21 ,0.01 ,0.13 ,0.20 ,Gcc2,"50,104",412
ENSMUSG00000038095.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.81 ,0.87 ,0.01 ,0.01 ,0.02 ,0.01 ,0.04 ,0.07 ,Sbno1,"57,301",554
ENSMUSG00000038145.17,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.04 ,0.07 ,0.03 ,0.00 ,0.00 ,0.00 ,0.61 ,0.72 ,Snrk,"52,438",599
ENSMUSG00000038170.15,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.04 ,0.05 ,-0.01 ,0.07 ,0.11 ,Pde4dip,"198,885","2,186"
ENSMUSG00000038172.14,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.04 ,0.07 ,0.02 ,0.00 ,0.00 ,0.01 ,0.29 ,0.40 ,Ttc39b,"103,957","1,343"
ENSMUSG00000038174.14,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.11 ,0.17 ,0.02 ,0.00 ,0.00 ,0.00 ,0.93 ,0.95 ,Fam126b,"63,519",354
ENSMUSG00000038178.16,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.00 ,0.86 ,0.88 ,-0.01 ,0.15 ,0.23 ,Slc43a2,"45,883",688
ENSMUSG00000038187.14,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.26 ,0.37 ,0.02 ,0.00 ,0.00 ,0.00 ,0.47 ,0.59 ,Btbd10,"53,768",297
ENSMUSG00000038206.13,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.21 ,0.30 ,0.02 ,0.00 ,0.00 ,0.00 ,0.45 ,0.57 ,Fbxo8,"42,851",311
ENSMUSG00000038371.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.27 ,0.37 ,0.02 ,0.00 ,0.00 ,0.00 ,0.35 ,0.47 ,Sbf2,"306,911","2,033"
ENSMUSG00000038383.16,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.08 ,0.14 ,0.01 ,0.06 ,0.09 ,0.02 ,0.00 ,0.00 ,Pigu,"79,189",651
ENSMUSG00000038482.11,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.08 ,0.13 ,0.00 ,0.69 ,0.72 ,0.01 ,0.02 ,0.04 ,Tfdp1,"39,699",649
ENSMUSG00000038506.13,[5hmCH +],CH,genebody,all_gene,0.01 ,0.23 ,0.33 ,0.01 ,0.02 ,0.02 ,0.01 ,0.13 ,0.20 ,Dcun1d2,"32,170",468
ENSMUSG00000038533.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.04 ,0.07 ,0.02 ,0.00 ,0.00 ,-0.01 ,0.19 ,0.28 ,Cbfa2t2,"102,877",743
ENSMUSG00000038535.17,[5hmCH +],CH,genebody,all_gene,0.00 ,0.64 ,0.73 ,0.02 ,0.00 ,0.00 ,0.01 ,0.27 ,0.37 ,Zfp280d,"88,919",520
ENSMUSG00000038563.14,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.05 ,0.09 ,0.01 ,0.08 ,0.10 ,0.01 ,0.01 ,0.01 ,Efl1,"129,240","1,393"
ENSMUSG00000038564.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.91 ,0.94 ,0.01 ,0.02 ,0.03 ,0.00 ,0.57 ,0.68 ,Ift172,"37,841",512
ENSMUSG00000038630.8,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.38 ,0.49 ,0.02 ,0.00 ,0.01 ,-0.01 ,0.35 ,0.47 ,Zkscan16,"14,729",196
ENSMUSG00000038658.15,[(5mCH+5hmCH) -],CH,genebody,all_gene,-0.01 ,0.03 ,0.05 ,0.00 ,0.72 ,0.75 ,-0.01 ,0.02 ,0.03 ,Ric1,"84,549",745
ENSMUSG00000038696.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.92 ,0.95 ,0.01 ,0.01 ,0.02 ,0.01 ,0.20 ,0.29 ,Mapkap1,"218,181","1,836"
ENSMUSG00000038705.13,[5hmCH +],CH,genebody,all_gene,0.00 ,0.77 ,0.84 ,0.01 ,0.02 ,0.04 ,0.00 ,0.49 ,0.61 ,Gmeb2,"36,588",298
ENSMUSG00000038708.10,[5hmCH +],CH,genebody,all_gene,0.00 ,0.58 ,0.68 ,0.02 ,0.00 ,0.00 ,0.00 ,0.50 ,0.61 ,Golga4,"76,254","1,010"
ENSMUSG00000038733.13,[5hmCH +],CH,genebody,all_gene,0.00 ,0.50 ,0.62 ,0.02 ,0.00 ,0.00 ,0.00 ,0.97 ,0.98 ,Wdr26,"38,326",471
ENSMUSG00000038740.9,[5hmCH +],CH,genebody,all_gene,0.00 ,0.35 ,0.46 ,0.02 ,0.00 ,0.00 ,0.00 ,0.53 ,0.65 ,Mvb12b,"157,995","2,128"
ENSMUSG00000038879.8,[5hmCH +],CH,genebody,all_gene,0.00 ,0.76 ,0.83 ,0.03 ,0.00 ,0.00 ,0.01 ,0.10 ,0.16 ,Nipal2,"106,415",630
ENSMUSG00000038916.7,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.29 ,0.39 ,0.02 ,0.00 ,0.01 ,0.00 ,0.84 ,0.89 ,Soga3,"55,793",490
ENSMUSG00000039033.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.68 ,0.77 ,0.01 ,0.01 ,0.02 ,0.01 ,0.16 ,0.25 ,Tasp1,"233,327","1,549"
ENSMUSG00000039068.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.13 ,0.20 ,0.02 ,0.00 ,0.00 ,0.00 ,0.57 ,0.67 ,Zzz3,"67,355",829
ENSMUSG00000039100.10,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.11 ,0.18 ,0.01 ,0.02 ,0.03 ,0.00 ,0.99 ,0.99 ,6-Mar,"75,164",655
ENSMUSG00000039128.13,[5hmCH +],CH,genebody,all_gene,0.01 ,0.17 ,0.25 ,0.01 ,0.02 ,0.03 ,0.01 ,0.04 ,0.08 ,Cdc123,"50,872",583
ENSMUSG00000039178.9,[5hmCH +],CH,genebody,all_gene,0.00 ,0.92 ,0.94 ,0.02 ,0.00 ,0.00 ,0.00 ,0.80 ,0.87 ,Tbc1d19,"94,361",714
ENSMUSG00000039191.12,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.06 ,0.08 ,0.00 ,0.43 ,0.55 ,Rbpj,"191,212","2,144"
ENSMUSG00000039206.13,[5hmCH +],CH,genebody,all_gene,0.00 ,0.55 ,0.66 ,0.01 ,0.01 ,0.02 ,0.00 ,0.80 ,0.86 ,Daglb,"41,360",700
ENSMUSG00000039230.14,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.10 ,0.16 ,0.01 ,0.03 ,0.05 ,0.02 ,0.00 ,0.00 ,Tbcd,"165,217","1,572"
ENSMUSG00000039361.11,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.07 ,0.12 ,0.01 ,0.01 ,0.02 ,-0.01 ,0.08 ,0.13 ,Picalm,"83,254",538
ENSMUSG00000039414.9,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.13 ,0.21 ,0.01 ,0.04 ,0.06 ,0.01 ,0.01 ,0.01 ,Heatr5b,"82,477",881
ENSMUSG00000039431.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.30 ,0.41 ,0.01 ,0.02 ,0.03 ,0.00 ,0.57 ,0.68 ,Mtmr7,"83,704","1,003"
ENSMUSG00000039478.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.64 ,0.73 ,0.03 ,0.00 ,0.00 ,0.01 ,0.20 ,0.29 ,Micu3,"78,852",625
ENSMUSG00000039480.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.61 ,0.71 ,0.02 ,0.00 ,0.00 ,0.00 ,0.85 ,0.89 ,Nt5dc1,"130,266","1,019"
ENSMUSG00000039501.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.50 ,0.61 ,0.02 ,0.00 ,0.00 ,0.00 ,0.58 ,0.69 ,Znfx1,"27,224",439
ENSMUSG00000039531.8,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.31 ,0.42 ,0.01 ,0.07 ,0.09 ,0.01 ,0.01 ,0.02 ,Zufsp,"32,129",188
ENSMUSG00000039585.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.32 ,0.43 ,0.03 ,0.00 ,0.00 ,0.01 ,0.28 ,0.40 ,Myo9a,"177,972",918
ENSMUSG00000039599.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.37 ,0.48 ,0.02 ,0.00 ,0.01 ,0.01 ,0.05 ,0.09 ,Fam149b,"35,331",412
ENSMUSG00000039630.10,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.08 ,0.13 ,0.02 ,0.00 ,0.01 ,0.00 ,0.47 ,0.59 ,Hnrnpu,"16,691",279
ENSMUSG00000039633.6,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.10 ,0.16 ,0.01 ,0.03 ,0.05 ,-0.01 ,0.11 ,0.18 ,Lonrf1,"33,454",669
ENSMUSG00000039652.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.76 ,0.83 ,0.04 ,0.00 ,0.00 ,0.01 ,0.05 ,0.08 ,Cpeb3,"187,312","1,787"
ENSMUSG00000039704.7,[5hmCH +],CH,genebody,all_gene,0.00 ,0.89 ,0.93 ,0.01 ,0.02 ,0.03 ,0.00 ,0.89 ,0.93 ,Lmbrd2,"61,935",448
ENSMUSG00000039768.16,[(5mCH+5hmCH) +],CH,genebody,all_gene,0.01 ,0.06 ,0.11 ,0.01 ,0.18 ,0.22 ,0.01 ,0.01 ,0.02 ,Dnajc11,"48,448",876
ENSMUSG00000039801.7,[5hmCH +],CH,genebody,all_gene,0.00 ,0.76 ,0.83 ,0.01 ,0.01 ,0.01 ,0.01 ,0.19 ,0.28 ,AC158971.1,"102,054","1,111"
ENSMUSG00000039959.13,[5mCH -],CH,genebody,all_gene,-0.01 ,0.02 ,0.03 ,0.01 ,0.08 ,0.10 ,0.00 ,0.57 ,0.68 ,Hip1,"138,591","1,969"
ENSMUSG00000039968.9,[5mCH -],CH,genebody,all_gene,-0.01 ,0.01 ,0.01 ,0.01 ,0.12 ,0.16 ,-0.01 ,0.04 ,0.07 ,Rsbn1l,"63,372",680
ENSMUSG00000039987.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.50 ,0.61 ,0.02 ,0.00 ,0.00 ,0.01 ,0.20 ,0.30 ,Phtf2,"123,463","1,086"
ENSMUSG00000040022.14,[5hmCH +],CH,genebody,all_gene,0.00 ,0.65 ,0.74 ,0.02 ,0.00 ,0.00 ,0.01 ,0.11 ,0.18 ,Rab11fip2,"40,772",289
ENSMUSG00000040225.15,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.07 ,0.11 ,0.02 ,0.00 ,0.00 ,0.00 ,0.85 ,0.90 ,Prrc2c,"69,833",582
ENSMUSG00000040276.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.65 ,0.74 ,0.02 ,0.00 ,0.00 ,0.01 ,0.33 ,0.44 ,Pacsin1,"55,975",968
ENSMUSG00000040282.13,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.01 ,0.01 ,0.04 ,0.06 ,-0.01 ,0.07 ,0.12 ,RP23-297K24.1,"197,054","1,589"
ENSMUSG00000040327.16,[5hmCH +],CH,genebody,all_gene,0.00 ,0.62 ,0.71 ,0.01 ,0.01 ,0.02 ,0.00 ,0.80 ,0.86 ,Cul9,"45,818",792
ENSMUSG00000040423.10,[5hmCH +],CH,genebody,all_gene,0.00 ,0.90 ,0.94 ,0.01 ,0.01 ,0.02 ,0.01 ,0.25 ,0.35 ,Rc3h1,"68,562",492
ENSMUSG00000040459.11,[5hmCH +],CH,genebody,all_gene,0.00 ,0.50 ,0.61 ,0.01 ,0.01 ,0.01 ,0.00 ,0.78 ,0.85 ,Arglu1,"25,448",329
ENSMUSG00000040506.16,[5mCH -],CH,genebody,all_gene,-0.02 ,0.00 ,0.00 ,0.01 ,0.10 ,0.13 ,-0.01 ,0.04 ,0.07 ,Ambra1,"188,717","1,202"
ENSMUSG00000040560.9,[5hmCH +],CH,genebody,all_gene,0.00 ,0.43 ,0.54 ,0.02 ,0.00 ,0.00 ,0.01 ,0.15 ,0.23 ,Wdr7,"281,067","2,690"
ENSMUSG00000040565.7,[5mCH -],CH,genebody,all_gene,-0.01 ,0.02 ,0.04 ,0.00 ,0.87 ,0.89 ,-0.01 ,0.07 ,0.12 ,Btaf1,"86,675",686
ENSMUSG00000040591.18,[5hmCH +],CH,genebody,all_gene,0.00 ,1.00 ,1.00 ,0.02 ,0.00 ,0.00 ,0.01 ,0.07 ,0.11 ,RP23-42N14.3,"169,638","1,370"
ENSMUSG00000040594.19,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.24 ,0.34 ,0.03 ,0.00 ,0.00 ,0.00 ,0.37 ,0.49 ,Ranbp17,"301,953","2,306"
ENSMUSG00000040648.14,[5mCH -],CH,genebody,all_gene,-0.01 ,0.03 ,0.04 ,0.01 ,0.24 ,0.28 ,-0.01 ,0.10 ,0.16 ,Ppip5k2,"64,365",602
ENSMUSG00000040712.16,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.03 ,0.05 ,0.01 ,0.01 ,0.01 ,-0.01 ,0.36 ,0.47 ,Camta2,"18,644",359
ENSMUSG00000040720.15,[5hmCH +],CH,genebody,all_gene,0.00 ,0.48 ,0.59 ,0.01 ,0.02 ,0.03 ,0.00 ,0.63 ,0.73 ,RP23-242O9.1,"64,728",600
ENSMUSG00000040721.9,[5hmCH +],CH,genebody,all_gene,-0.01 ,0.08 ,0.13 ,0.01 ,0.02 ,0.03 ,-0.01 ,0.07 ,0.12 ,Zfhx2,"32,064",622
